id,year,average
1,2011,3.584821428571428381104624349973164498805999755859375
2,2012,3.603305785123966931138284053304232656955718994140625
3,2013,3.7747747747747748547908486216329038143157958984375
4,2014,3.578947368421052654952063676319085061550140380859375
5,2015,3.62831858407079632655722889467142522335052490234375
6,2016,3.79999999999999982236431605997495353221893310546875
7,2017,3.477777777777777856726970640011131763458251953125
8,2018,3.627450980392156854037466473528183996677398681640625
9,2019,3.605263157894736725239681618404574692249298095703125
