id,word,frequency,rating,year
12533,hearty,3,4,2019
11742,her,2,3,2019
12171,her,3,4,2019
11059,here,4,2,2019
11282,here,3,3,2019
12405,here,14,4,2019
12836,here,7,5,2019
11175,high,2,2,2019
12851,highly,2,5,2019
13067,his,3,5,2019
12340,hit,3,4,2019
13066,hope,2,5,2019
12475,hostess,2,4,2019
12074,hot,4,4,2019
13208,hot,2,5,2019
10849,hour,4,1,2019
11983,hour,6,4,2019
12885,how,2,5,2019
12402,however,3,4,2019
13083,husband,2,5,2019
11187,if,2,2,2019
11647,if,3,3,2019
12495,if,16,4,2019
13140,if,2,5,2019
10881,im,2,1,2019
12024,instead,2,4,2019
12122,isn't,2,4,2019
11319,it,8,3,2019
12491,it,6,4,2019
13135,it,2,5,2019
11085,it's,2,2,2019
11729,it's,5,3,2019
12656,it's,11,4,2019
11839,jack,2,4,2019
12091,jack's,7,4,2019
12930,jack's,7,5,2019
11751,jacks,3,3,2019
12689,jacks,4,4,2019
10956,just,3,2,2019
11540,just,7,3,2019
12544,just,11,4,2019
13158,just,2,5,2019
12175,keep,4,4,2019
11908,kids,4,4,2019
12769,kinda,2,4,2019
12011,lamb,2,4,2019
11852,large,6,4,2019
12950,large,3,5,2019
12444,late,4,4,2019
11479,later,2,3,2019
10699,leave,2,1,2019
11673,left,2,3,2019
11060,like,2,2,2019
11693,like,2,3,2019
12588,like,7,4,2019
12199,little,3,4,2019
12567,location,2,4,2019
13038,location,3,5,2019
11449,long,2,3,2019
12675,long,4,4,2019
13216,long,2,5,2019
12474,look,2,4,2019
12147,looking,3,4,2019
12676,lot,5,4,2019
12382,lots,3,4,2019
12181,loud,3,4,2019
11928,love,3,4,2019
12848,love,8,5,2019
13115,lovely,2,5,2019
12093,lunch,3,4,2019
11357,mac,2,3,2019
12036,mac,2,4,2019
11758,made,2,3,2019
12709,made,4,4,2019
10897,make,2,1,2019
12501,make,2,4,2019
13142,make,2,5,2019
11924,makes,3,4,2019
10635,manager,2,1,2019
12415,many,2,4,2019
13016,mateo,2,5,2019
10845,me,2,1,2019
11326,me,2,3,2019
11978,me,2,4,2019
12652,meal,2,4,2019
12941,meal,2,5,2019
12496,meals.,2,4,2019
12107,meat,3,4,2019
11030,mediterranean,3,2,2019
12325,menu,3,4,2019
13062,menu,4,5,2019
11496,mins,2,3,2019
10775,minutes,6,1,2019
10959,minutes,2,2,2019
11771,minutes,4,3,2019
12759,monday,2,4,2019
11123,more,3,2,2019
11315,more,4,3,2019
13238,more,2,5,2019
11977,must,2,4,2019
10862,my,6,1,2019
11164,my,9,2,2019
11334,my,10,3,2019
11995,my,19,4,2019
12874,my,8,5,2019
12483,near,3,4,2019
12203,needed,2,4,2019
10760,never,3,1,2019
11896,never,2,4,2019
12835,never,3,5,2019
11950,next,3,4,2019
12754,nice,8,4,2019
13255,nice,4,5,2019
12593,night,6,4,2019
10894,no,8,1,2019
11189,no,3,2,2019
12743,no,3,4,2019
10685,not,7,1,2019
11000,not,8,2,2019
11679,not,8,3,2019
12098,not,10,4,2019
12934,not,3,5,2019
11739,nothing,2,3,2019
12291,nothing,2,4,2019
11250,off,2,3,2019
12690,offer,3,4,2019
12601,often,3,4,2019
11375,ok,3,3,2019
11974,ok,2,4,2019
12600,old,2,4,2019
11663,omelette,3,3,2019
11963,on,2,4,2019
10797,one,4,1,2019
11099,one,2,2,2019
11448,one,3,3,2019
12981,one,2,5,2019
10659,only,2,1,2019
11542,only,6,3,2019
12331,only,3,4,2019
13064,only,2,5,2019
12660,or,12,4,2019
12902,or,2,5,2019
10949,order,3,1,2019
11235,order,2,2,2019
12906,order,2,5,2019
11613,ordered,5,3,2019
12727,ordered,6,4,2019
13241,ordered,5,5,2019
11186,orders,2,2,2019
10903,other,2,1,2019
11785,other,4,3,2019
12749,other,5,4,2019
11286,others,4,3,2019
11034,our,4,2,2019
11417,our,12,3,2019
12133,our,11,4,2019
12947,our,8,5,2019
11421,out,2,3,2019
12751,out,11,4,2019
12949,out,2,5,2019
10631,over,4,1,2019
12910,over,2,5,2019
11639,over.,2,3,2019
11280,pancakes,5,3,2019
12566,parents,2,4,2019
12377,parking,6,4,2019
11972,particular,2,4,2019
12510,party,3,4,2019
13146,party,2,5,2019
12603,people,3,4,2019
12394,perfect,2,4,2019
12215,perfectly,3,4,2019
11023,person,2,2,2019
10943,place,2,1,2019
12177,place,17,4,2019
12975,place,6,5,2019
11515,plenty,2,3,2019
12290,plenty,3,4,2019
12615,pocket,3,4,2019
12594,popular,2,4,2019
12710,portions,3,4,2019
13230,portions,3,5,2019
11019,potatoes,2,2,2019
11098,prefer,2,2,2019
